wasm_hash,instances_count,token_id_type,functions,events
"bad961feb4eb6592414be95715bb2cd5e68d4e17e83c99efab78c77e5723cec7",1,"u32","burn,mint,name,ping,claim,symbol,approve,balance,upgrade,owner_of,transfer,burn_from,get_image,get_owner,set_image,set_owner,token_uri,max_supply,get_approved,is_claimable,royalty_info,total_minted,__constructor,set_token_uri,transfer_from,approve_for_all,accept_ownership,renounce_ownership,transfer_ownership,batch_set_token_uri,is_approved_for_all,set_royalty_recipient","RoleGranted,RoleRevoked,AdminRenounced,RoleAdminChanged,AdminTransferCompleted,AdminTransferInitiated,OwnershipTransfer,OwnershipRenounced,OwnershipTransferCompleted,SetRoot,SetClaimed,Paused,Unpaused,ConsecutiveMint,Burn,SetTokenRoyalty,SetDefaultRoyalty,RemoveTokenRoyalty,Mint,Approve,Transfer,ApproveForAll,ModuleAdded,ModuleRemoved,DocumentRemoved,DocumentUpdated,KeyAllowed,KeyRemoved,ClaimRevoked,SignaturesInvalidated,ClaimAdded,ClaimChanged,ClaimRemoved,Burn,Mint,ClaimTopicAdded,ClaimTopicRemoved,TrustedIssuerAdded,IssuerTopicsUpdated,TrustedIssuerRemoved,IdentityStored,CountryDataAdded,IdentityModified,IdentityUnstored,IdentityRecovered,CountryDataRemoved,CountryDataModified,TokensFrozen,AddressFrozen,ComplianceSet,TokensUnfrozen,RecoverySuccess,IdentityVerifierSet,TokenOnchainIdUpdated,ClaimTopicsAndIssuersSet,TokenBound,TokenUnbound,Deposit,Withdraw,Burn,UserAllowed,UserDisallowed,UserBlocked,UserUnblocked,Mint,Approve,Transfer"
"bd42279f0dd674a521e6e94574613d7e5d5769c8a9fe950acb9b47ec0eaee99a",1,"u32","__constructor,batch_mint,balance,owner_of,transfer,transfer_from,approve,approve_for_all,get_approved,is_approved_for_all,name,symbol,token_uri,burn,burn_from","SetRoot,SetClaimed,Paused,Unpaused,UserAllowed,UserDisallowed,UserBlocked,UserUnblocked,Burn,Transfer,Approve,Mint,Burn,ConsecutiveMint,SetDefaultRoyalty,SetTokenRoyalty,RemoveTokenRoyalty,Transfer,Approve,ApproveForAll,Mint,KeyAllowed,KeyRemoved,ClaimRevoked,ClaimTopicAdded,ClaimTopicRemoved,TrustedIssuerAdded,TrustedIssuerRemoved,IssuerTopicsUpdated,ModuleAdded,ModuleRemoved,DocumentUpdated,DocumentRemoved,ClaimAdded,ClaimRemoved,ClaimChanged,IdentityStored,IdentityUnstored,IdentityModified,CountryDataAdded,CountryDataRemoved,CountryDataModified,TokenBound,TokenUnbound,TokenOnchainIdUpdated,RecoverySuccess,AddressFrozen,TokensFrozen,TokensUnfrozen,Mint,Burn,ComplianceSet,ClaimTopicsAndIssuersSet,IdentityRegistryStorageSet"
"bdd2ccfce63e732947b9a3ef2b1d736118eefda9e085738e1d7f695c77c56cd2",1,"u32","burn,mint,name,ping,symbol,approve,balance,upgrade,owner_of,transfer,burn_from,get_image,get_owner,set_image,token_uri,max_supply,get_approved,royalty_info,total_minted,__constructor,set_token_uri,transfer_from,approve_for_all,accept_ownership,renounce_ownership,transfer_ownership,batch_set_token_uri,is_approved_for_all,set_royalty_recipient","RoleGranted,RoleRevoked,AdminRenounced,RoleAdminChanged,AdminTransferCompleted,AdminTransferInitiated,OwnershipTransfer,OwnershipRenounced,OwnershipTransferCompleted,SetRoot,SetClaimed,Paused,Unpaused,ConsecutiveMint,Burn,SetTokenRoyalty,SetDefaultRoyalty,RemoveTokenRoyalty,Mint,Approve,Transfer,ApproveForAll,ModuleAdded,ModuleRemoved,DocumentRemoved,DocumentUpdated,KeyAllowed,KeyRemoved,ClaimRevoked,SignaturesInvalidated,ClaimAdded,ClaimChanged,ClaimRemoved,Burn,Mint,ClaimTopicAdded,ClaimTopicRemoved,TrustedIssuerAdded,IssuerTopicsUpdated,TrustedIssuerRemoved,IdentityStored,CountryDataAdded,IdentityModified,IdentityUnstored,IdentityRecovered,CountryDataRemoved,CountryDataModified,TokensFrozen,AddressFrozen,ComplianceSet,TokensUnfrozen,RecoverySuccess,IdentityVerifierSet,TokenOnchainIdUpdated,ClaimTopicsAndIssuersSet,TokenBound,TokenUnbound,Deposit,Withdraw,Burn,UserAllowed,UserDisallowed,UserBlocked,UserUnblocked,Mint,Approve,Transfer"
"bfd300ecaf15d79febcaab57d612a0dfb6dcd1c7dddbe598beb11093088e6969",3,"u32","__constructor,mint,mint_credential,get_credential,get_owner_token,balance,owner_of,transfer,transfer_from,approve,approve_for_all,get_approved,is_approved_for_all,token_uri,name,symbol,burn,burn_from",""
"c5e2d06e1d18dbe3ec812daf809364b17536ef3a720e730214c94da76c58724a",1,"i128","owner_of,name,symbol,token_uri,token_image,is_approved,transfer,mint,approve,transfer_from",""
"caa7ed299890f70284707caeccc6b2bb66b032b84689dee1bb27d530b9b66449",1,"u32","burn,mint,name,ping,claim,symbol,approve,balance,upgrade,owner_of,transfer,burn_from,get_image,get_owner,set_image,set_owner,token_uri,max_supply,get_approved,get_claimant,is_claimable,royalty_info,set_claimant,total_minted,__constructor,set_claimable,set_token_uri,transfer_from,approve_for_all,accept_ownership,batch_set_claimant,renounce_ownership,transfer_ownership,is_approved_for_all,set_royalty_recipient","RoleGranted,RoleRevoked,AdminRenounced,RoleAdminChanged,AdminTransferCompleted,AdminTransferInitiated,OwnershipTransfer,OwnershipRenounced,OwnershipTransferCompleted,SetRoot,SetClaimed,Paused,Unpaused,ConsecutiveMint,Burn,SetTokenRoyalty,SetDefaultRoyalty,RemoveTokenRoyalty,Mint,Approve,Transfer,ApproveForAll,ModuleAdded,ModuleRemoved,DocumentRemoved,DocumentUpdated,KeyAllowed,KeyRemoved,ClaimRevoked,SignaturesInvalidated,ClaimAdded,ClaimChanged,ClaimRemoved,Burn,Mint,ClaimTopicAdded,ClaimTopicRemoved,TrustedIssuerAdded,IssuerTopicsUpdated,TrustedIssuerRemoved,IdentityStored,CountryDataAdded,IdentityModified,IdentityUnstored,IdentityRecovered,CountryDataRemoved,CountryDataModified,TokensFrozen,AddressFrozen,ComplianceSet,TokensUnfrozen,RecoverySuccess,IdentityVerifierSet,TokenOnchainIdUpdated,ClaimTopicsAndIssuersSet,TokenBound,TokenUnbound,Deposit,Withdraw,Burn,UserAllowed,UserDisallowed,UserBlocked,UserUnblocked,Mint,Approve,Transfer"
"cb0a6f87fc7bbef6d6d8d1c1631c1a29d951a41002425d3e7fbad251e9b8a7db",1,"u32","__constructor,mint,mint_credential,get_credential,get_owner_token,balance_of,balance,owner_of,transfer,transfer_from,approve,approve_for_all,get_approved,is_approved_for_all,token_uri,name,symbol,burn,burn_from",""
"cc0e40810209030946a09172fbcd77a8af9ab849c2f7d240ddf6551e459e80a1",1,"string","initialize,mint,add_minter,remove_minter,burn,transfer_from,owner_of,set_base_uri,get_base_uri,get_token_uri",""
"cc229a460742b1af9740f6fb40a563b6aef5888ec7f41ff8de255fb757d686b2",1,"u32","__constructor,upgrade,set_price,mint_salad,set_base_uri,base_uri,decimals,burn,burn_from,balance,owner_of,approve,get_approved,approve_all,is_approved_all,transfer,transfer_from,name,symbol,token_uri",""
"d9e4643ce85b3f3affef1b69d33556e25a9baba850c13762c18a6e0c96cb22f2",0,"u32","__constructor,batch_mint,balance,owner_of,transfer,transfer_from,approve,approve_for_all,get_approved,is_approved_for_all,name,symbol,token_uri,burn,burn_from","SetRoot,SetClaimed,Paused,Unpaused,UserAllowed,UserDisallowed,UserBlocked,UserUnblocked,Burn,Transfer,Approve,Mint,Burn,ConsecutiveMint,SetDefaultRoyalty,SetTokenRoyalty,RemoveTokenRoyalty,Transfer,Approve,ApproveForAll,Mint,KeyAllowed,KeyRemoved,ClaimRevoked,ClaimTopicAdded,ClaimTopicRemoved,TrustedIssuerAdded,TrustedIssuerRemoved,IssuerTopicsUpdated,ModuleAdded,ModuleRemoved,DocumentUpdated,DocumentRemoved,ClaimAdded,ClaimRemoved,ClaimChanged,IdentityStored,IdentityUnstored,IdentityModified,CountryDataAdded,CountryDataRemoved,CountryDataModified,TokenBound,TokenUnbound,TokenOnchainIdUpdated,RecoverySuccess,AddressFrozen,TokensFrozen,TokensUnfrozen,Mint,Burn,ComplianceSet,ClaimTopicsAndIssuersSet,IdentityRegistryStorageSet"
"dae61b0ae32ed476188842dd20e155a62aabe5348e7d6b67df3a4aaf72904e49",1,"i128","__constructor,mint,owner_of,name,symbol,token_uri,token_image,is_approved,transfer,approve,transfer_from,set_user,is_user_of,user_of,is_token_id_allowed,get_owner,get_mint_price,get_token_count,set_base_uri,set_contract_uri,set_default_mint_price,set_mint_price,set_royalty,set_minter,set_forwarder,set_tokens_allowlist,set_tokens_are_allowed,add_allowed_token_id,remove_allowed_token_id,transfer_admin",""
